MSSubClass,LotFrontage,LotArea,OverallQual,WoodDeckSF,OpenPorchSF,TotalBsmtSF,FloorSF,SalePrice
60,90,12376,7,367,0,1673,160836.5,320000
60,65,8461,6,0,24,728,82359,163990
80,NA,21453,6,0,130,938,90469,180000
50,50,6060,4,0,0,732,50366,100000
20,75,9464,6,0,0,1080,68540,136000
120,55,7892,6,0,63,1199,77549.5,153900
20,48,17043,6,192,0,1362,91181,181000
190,60,6780,6,53,0,520,42510,84500
120,NA,4928,6,0,205,1078,64539,128000
45,55,4388,5,0,0,672,43836,87000
60,69,7590,6,188,108,660,77830,155000
20,69,8973,5,0,80,1008,75504,150000
60,88,14200,7,105,66,924,113462,226000
60,NA,12224,6,24,48,992,122496,244000
20,75,7388,5,0,0,1063,75906.5,150750
20,NA,6853,8,192,25,1267,110633.5,220000
20,78,10335,5,0,96,1461,90730.5,180000
20,80,10400,7,98,0,1304,87652,174000
20,NA,10355,5,0,111,1214,72107,143000
90,82,11070,7,0,0,1907,86453.5,171000
60,73,9066,8,224,106,1004,115502,230000
60,65,15426,6,276,99,928,116214,231500
20,70,10500,4,0,0,864,57932,115000
20,78,11645,7,160,24,1734,130867,260000
50,71,8520,5,0,0,910,83455,166000
20,78,10335,7,144,29,1490,102745,204000
90,70,9100,5,0,0,1728,63364,125000
160,24,2522,6,0,40,970,65485,130000
30,51,6120,5,48,0,715,52857.5,105000
60,NA,9505,7,144,48,884,111692,222500
20,63,7500,7,0,0,1080,71040,141000
50,NA,6240,5,200,114,896,57948,115000
20,120,10356,5,0,0,969,61484.5,122000
20,107,13891,8,0,102,1710,187056,372402
60,NA,14803,6,0,66,825,95412.5,190000
20,NA,13500,6,409,0,1602,118301,235000
30,84,11340,6,0,0,1200,63100,125000
50,60,9600,6,0,8,572,39786,79000
20,60,7200,5,0,0,0,54750,109500
60,92,12003,8,0,75,774,135137,269500
60,100,12552,7,0,136,991,127945.5,254900
60,134,19378,7,239,132,1392,160696,320000
20,NA,11120,6,0,0,1232,81866,162500
60,110,13688,9,400,0,1572,207036,412500
20,95,12182,7,0,70,1541,110770.5,220000
45,55,5500,4,0,0,882,52041,103200
40,40,5400,6,0,0,1149,76574.5,152000
190,62,10106,5,140,0,644,64072,127500
20,NA,10708,5,476,0,1617,95808.5,190000
60,86,10562,8,178,120,1582,163603,325624
60,62,8244,7,100,48,840,92170,183500
20,NA,16669,8,574,64,1686,114843,228000
50,NA,12358,5,237,0,720,64610,128500
20,141,31770,6,210,62,1080,108040,215000
160,44,5306,7,441,35,1064,120032,239000
20,80,10197,6,0,20,1362,82181,163000
20,47,12416,6,192,0,1606,92803,184000
20,84,12615,6,0,29,1202,122101,243000
60,97,10029,6,0,228,1151,106075.5,211000
50,NA,13650,5,0,0,1052,86776,172500
20,63,17423,9,0,60,2216,252026.5,501837
30,60,8520,5,0,0,968,50484,100000
160,NA,2117,6,0,0,756,88878,177000
70,54,7588,7,0,0,793,100446.5,200100
20,60,9060,5,116,0,0,60000,120000
50,63,11426,7,280,238,1362,100681,200000
50,92,7438,5,104,0,504,63752,127000
75,90,22950,10,0,260,1107,238053.5,475000
80,NA,9947,7,168,27,1188,87094,173000
50,60,10410,5,0,0,660,67830,135000
90,64,7018,5,120,0,1086,77211.5,153337
120,41,4923,8,0,120,1593,143796.5,286000
70,70,10570,8,0,74,853,157926.5,315000
60,NA,7472,7,0,32,725,92362.5,184000
20,68,9017,7,0,35,1431,96715.5,192000
160,24,2522,7,0,40,970,65485,130000
20,60,7180,5,0,0,864,63932,127000
160,24,2280,6,87,0,855,74677.5,148500
20,79,9416,7,171,138,1726,156799,311872
75,174,25419,8,0,16,1360,118180,235000
75,92,5520,6,0,198,755,52377.5,104000
20,76,9591,8,0,26,1713,138306.5,274900
20,80,8546,4,132,64,1121,70560.5,140000
20,75,10125,6,238,83,1196,86348,171500
50,50,7000,6,0,0,617,56308.5,112000
120,NA,4438,6,149,0,848,74924,149000
50,50,3500,5,0,35,720,55360,110000
20,99,11851,7,0,34,1424,90962,180500
20,40,13673,5,0,30,1140,72520,143900
20,NA,12493,4,355,0,1100,71050,141000
60,NA,14364,7,60,55,1157,139078.5,277000
20,75,8250,6,0,0,1092,73046,145000
30,67,5604,5,0,0,864,49432,98000
20,83,10420,6,100,22,1212,93606,186000
60,72,8640,7,168,108,900,126789,252678
20,43,13568,5,224,0,990,78495,156000
60,NA,10900,6,0,36,689,81219.5,161750
20,72,10011,5,0,0,1070,67760,134450
20,65,8450,7,139,98,1436,105718,210000
70,57,9906,4,0,172,686,53843,107000
50,NA,15660,7,0,119,798,156149,311500
120,43,3010,7,108,0,1248,84244,167240
20,73,8990,7,351,33,1498,103199,204900
60,NA,8068,6,120,46,1010,100505,200000
60,85,11475,6,209,208,713,90306.5,179900
20,70,10500,4,216,0,864,48932,97000
20,103,13472,10,248,105,2392,194321,386250
160,21,1680,5,0,0,630,56315,112000
60,82,9950,7,224,114,1203,145601.5,290000
160,21,1869,6,0,0,483,53241.5,106000
20,70,8521,5,0,0,912,62956,125000
120,43,3182,7,143,20,1373,96936.5,192500
20,73,8760,6,0,0,1194,74597,148000
60,174,15138,8,0,146,1462,202231,403000
160,21,1680,6,0,0,483,47491.5,94500
20,75,10650,5,365,0,894,64547,128200
60,NA,7851,6,288,48,860,108680,216500
160,21,1680,6,0,0,483,44991.5,89500
20,65,8773,7,132,105,1414,93457,185500
60,NA,9453,7,370,70,996,97748,194500
20,93,12030,8,168,228,1694,159847,318000
50,52,8741,6,0,140,735,56867.5,113000
20,75,9000,8,144,168,1566,132033,262500
30,40,3880,5,58,42,686,55593,110500
50,63,5000,5,0,0,540,39770,79000
160,75,10762,6,0,28,626,60313,120000
60,NA,8880,7,0,130,948,102974,205000
20,80,10400,7,197,39,1845,121672.5,241500
190,69,9142,6,0,60,1020,69010,137000
20,75,11310,6,0,30,1367,70683.5,140000
60,72,11317,7,144,68,840,90420,180000
50,NA,159000,6,0,98,1444,139222,277000
30,55,5350,3,263,0,728,38614,76500
120,44,4750,8,123,0,1573,118286.5,235000
60,65,8366,6,138,45,798,86899,173000
80,85,9350,6,333,0,1302,79651,158000
20,70,8400,5,250,0,1314,73157,145000
60,66,8738,7,192,0,975,115487.5,230000
60,64,8791,6,216,56,864,104182,207500
20,68,8814,7,123,110,1604,110802,220000
60,80,12435,7,0,96,963,116231.5,231500
20,70,12702,5,0,45,0,48500,97000
80,120,19296,6,0,0,1362,88681,176000
60,69,9588,8,0,148,1482,138741,276000
80,88,8471,6,292,12,506,75753,151000
50,50,5500,5,0,0,926,65463,130000
30,30,5232,5,0,0,680,36840,73000
20,78,12090,6,276,0,1422,88461,175500
60,70,11207,6,95,75,802,92901,185000
75,60,8400,5,262,24,720,90110,179500
30,71,6900,5,0,25,740,60620,120500
20,NA,7917,6,370,30,1143,74571.5,148000
60,84,10728,8,192,51,1095,133547.5,266000
20,73,39104,7,81,0,1385,121442.5,241500
60,92,11764,8,132,57,1152,145576,290000
20,80,9600,6,289,0,1240,70120,139000
20,76,8314,5,168,0,816,62658,124500
50,55,7264,7,74,0,952,102976,205000
20,129,9196,7,100,150,1560,101280,201000
20,140,19138,4,0,0,864,70932,141000
20,107,14450,9,124,98,2121,208709.5,415298
60,83,10005,7,288,117,1160,96580,192000
60,82,11287,7,0,84,807,114653.5,228500
20,60,7200,6,0,120,1262,93131,185000
120,34,5063,7,172,62,1314,104407,207500
20,74,9612,8,210,150,1468,123034,244600
120,50,8012,6,0,0,1575,90387.5,179200
160,35,4251,7,0,54,625,82662.5,164700
50,77,9786,6,0,0,912,79956,159000
20,NA,8125,4,0,0,858,44429,88000
20,NA,9819,5,0,0,882,61441,122000
70,60,8730,6,0,0,698,77136.5,153575
60,120,15611,8,0,51,1079,117154.5,233230
190,55,5687,5,0,184,780,68340,135900
50,60,11409,5,0,0,768,65884,131000
60,NA,16659,7,0,250,795,117897.5,235000
20,80,9600,6,110,0,1416,84208,167000
80,37,7937,6,120,0,1003,71751.5,142500
50,75,13710,5,289,0,910,76455,152000
60,66,7399,7,0,10,975,119987.5,239000
60,90,11700,6,224,0,702,87851,175000
20,80,14000,6,0,36,1092,79796,158500
190,90,15750,5,0,0,1165,79082.5,157000
60,66,16226,8,208,50,1028,134014,267000
20,118,13704,7,468,81,1541,103270.5,205000
20,70,9800,5,256,0,894,75397,149900
75,87,18386,7,302,0,1470,148235,295000
20,80,10386,8,168,0,2000,153950,305900
60,116,13474,7,127,44,700,112850,225000
50,NA,7920,6,0,144,319,44909.5,89500
30,NA,12342,4,158,0,861,41680.5,82500
20,90,12378,9,208,175,1896,180948,360000
60,NA,7685,6,190,63,697,83148.5,165600
20,50,8000,6,0,0,972,66486,132000
190,65,7800,5,0,0,793,60346.5,119900
20,150,215245,7,0,0,2136,188568,375000
70,60,9600,7,0,0,728,89364,178000
60,71,7795,7,100,51,716,94608,188500
60,94,13005,7,288,195,845,130422.5,260000
60,75,9000,8,208,46,1088,135544,270000
60,90,9900,7,340,60,1347,130673.5,260000
80,NA,14115,7,233,48,1372,94436,187500
60,111,16259,9,240,154,1249,171946,342643
60,99,12099,8,184,154,1136,177568,354000
60,86,10380,7,201,96,1502,151251,301000
20,49,5820,3,142,98,1162,63668.5,126175
80,96,11275,7,240,0,710,121355,242000
45,50,5000,5,0,0,720,43860,87000
120,32,10846,8,122,30,1719,162859.5,324000
20,80,11600,6,0,45,1383,73316.5,145250
75,NA,11888,6,0,60,844,107672,214500
70,60,6402,5,0,0,596,39298,78000
90,NA,10624,5,155,0,1728,60364,119000
20,70,8176,5,0,0,1056,70028,139000
20,85,10655,8,0,0,3206,143603,284000
120,59,8198,7,192,30,1358,104179,207000
60,59,9042,6,100,38,943,96471.5,192000
190,NA,164660,5,670,0,1499,115224.5,228950
20,86,14157,9,178,51,1922,189674,377426
20,70,9135,7,192,74,1536,107768,214000
20,91,14145,7,108,45,1208,101854,202500
20,66,12400,6,0,0,1215,78107.5,155000
60,85,14191,8,135,0,967,101933.5,202900
20,60,8400,4,250,0,721,41360.5,82000
90,NA,8544,3,0,0,0,43750,87500
120,63,8849,9,495,72,1684,133842,266000
160,36,2592,5,182,0,536,42768,85000
50,65,6435,6,0,0,972,70586,140200
20,NA,12772,6,0,0,958,76229,151500
20,NA,17600,6,0,40,1478,79489,157500
160,36,2448,7,0,27,764,77382,154000
60,56,20431,9,0,0,1848,219501,437154
120,68,7820,9,210,54,1869,159965,318061
120,NA,5271,7,0,80,1453,95726.5,190000
50,60,9084,5,48,0,616,47808,95000
30,60,8520,6,106,0,624,53262,105900
50,60,8400,6,0,0,940,70470,140000
20,105,11249,6,0,26,1200,89350,177500
20,NA,9248,6,120,26,1158,87079,173000
120,44,4224,5,536,90,1142,67571,134000
80,92,6930,5,168,0,1062,65531,130000
60,78,12011,8,208,75,1086,140543,280000
85,NA,7540,6,0,0,888,78444,156000
50,NA,9144,5,0,0,883,72941.5,145000
85,64,7301,7,0,0,0,99250,198500
160,21,1680,6,250,0,483,59241.5,118000
60,NA,18800,6,306,111,796,95398,190000
70,59,10690,5,0,128,672,73836,147000
20,NA,9500,6,0,76,1394,80197,159000
80,101,9150,6,64,110,1099,83049.5,165000
20,78,7800,5,0,98,1268,66634,132000
20,NA,9830,5,364,17,1063,81531.5,162000
60,NA,8121,6,100,40,953,86676.5,172400
50,80,17120,4,0,59,0,67216,134432
120,50,7175,6,353,0,744,62872,125000
20,79,10634,5,66,0,608,61804,123000
60,65,8200,7,100,48,847,110173.5,219500
30,NA,10020,1,0,0,683,30841.5,61000
85,57,8846,5,0,0,870,74435,148000
60,102,11143,8,159,214,1580,170790,340000
20,88,11394,9,113,0,1856,198144,394432
60,60,8123,6,100,63,982,89991,179000
50,50,5000,5,0,0,1026,64013,127000
20,60,7200,7,216,121,1293,94521.5,187750
60,79,9245,7,144,53,939,107219.5,213500
45,60,9000,6,0,0,784,38392,76000
60,NA,53107,6,216,231,1580,120790,240000
120,43,3182,8,146,20,1256,96628,192000
50,58,8410,5,0,151,658,40829,81000
80,72,7200,6,296,0,1041,63020.5,125000
20,93,9382,7,120,25,1468,96234,191000
60,96,12474,10,196,134,1682,213841,426000
50,50,8405,5,0,130,861,59930.5,119000
60,71,12209,6,125,192,804,107902,215000
20,NA,8339,5,0,0,0,53250,106500
30,NA,7446,4,0,0,788,50394,100000
50,60,10134,5,0,39,735,54867.5,109000
20,68,9571,5,44,0,1144,65072,129000
20,60,7200,5,215,0,894,61947,123000
60,69,7590,5,0,168,864,85182,169500
30,60,8967,5,0,0,961,33980.5,67000
60,65,8125,7,0,168,1092,121046,241000
120,38,14963,8,120,30,1260,123380,245500
20,65,8767,7,0,0,1310,83150,164990
30,60,10200,5,168,0,672,54336,108000
60,93,12090,8,144,123,1141,129570.5,258000
60,NA,10364,6,0,40,806,84403,168000
20,NA,9991,4,120,78,1281,75640.5,150000
50,51,10480,6,0,0,1064,58032,115000
70,63,15576,6,0,0,840,88920,177000
60,109,14154,7,192,62,1063,140531.5,280000
60,85,10800,8,0,102,1034,170392,339750
20,68,9571,5,0,0,1276,30638,60000
190,100,34650,5,264,0,1056,73028,145000
20,NA,4403,7,0,144,1470,111735,222000
30,56,8960,5,0,0,1008,58004,115000
60,59,11228,7,196,187,1080,114540,228000
20,73,8899,7,100,30,1340,91237,181134
60,74,7844,6,0,0,672,75086,149500
70,86,22420,6,0,0,1370,120185,239000
50,60,8160,5,0,0,756,63378,126000
20,65,8450,5,0,85,1056,71528,142000
90,78,7060,7,0,0,1344,103822,206300
20,NA,16635,6,240,0,1602,108301,215000
20,100,21750,5,0,0,988,56994,113000
60,80,9200,8,0,66,1470,158235,315000
20,72,9000,6,0,44,1196,70098,139000
60,60,3378,7,0,0,651,67825.5,135000
80,NA,12800,7,80,0,1518,138259,275000
20,77,8593,4,0,0,907,54957.5,109008
20,64,6762,7,105,54,1208,98304,195400
20,130,11457,6,0,0,1392,88196,175000
160,21,1680,6,0,0,483,42941.5,85400
50,60,5586,6,0,98,901,40400.5,79900
160,24,1920,5,240,36,765,61632.5,122500
60,100,10839,6,0,36,926,90963,181000
180,21,1890,4,88,0,630,40815,81000
60,43,10667,7,158,61,799,106399.5,212000
50,40,4400,6,0,0,648,58324,116000
45,50,6000,6,0,0,884,59942,119000
30,40,4280,5,0,0,440,45395,90350
50,67,12354,6,0,46,684,55342,110000
20,105,15431,10,0,72,3094,279047,555000
90,92,12108,4,0,0,1440,59720,118000
50,52,6240,5,0,0,1078,81989,162900
120,53,3922,7,144,16,1258,86879,172500
60,70,8750,7,144,133,915,105457.5,210000
20,73,9855,6,0,0,1436,64468,127500
20,137,16492,6,0,0,1517,95758.5,190000
60,NA,11214,7,89,0,930,100415,199900
50,50,8600,6,0,0,780,60140,119500
50,50,6000,3,0,176,649,60324.5,120000
30,70,5684,6,0,113,813,55406.5,110000
20,62,70761,7,200,54,1533,140766.5,280000
60,NA,9303,6,144,122,872,102436,204000
60,75,9000,8,0,30,768,105384,210000
90,63,9297,5,0,0,1728,94864,188000
20,80,9600,7,0,0,1242,88371,175500
70,34,4571,5,0,0,624,49312,98000
20,NA,53227,4,224,137,1364,128682,256000
70,NA,5100,8,192,63,588,80794,161000
50,NA,7015,5,0,0,709,55354.5,110000
60,75,8004,8,0,150,832,132133.5,263435
70,60,7200,7,256,0,560,77780,155000
20,60,8281,5,0,0,864,31623.5,62383
70,74,11988,6,0,0,715,94707.5,188700
20,60,8430,5,0,0,1040,62520,124000
120,NA,3072,7,144,20,1375,90057.5,178740
20,85,10628,7,0,0,1277,84138.5,167000
70,79,9480,5,168,0,728,73614,146500
20,98,11428,8,0,44,1626,125813,250000
60,76,9291,6,144,70,832,93916,187000
120,NA,6820,8,0,54,1488,106744,212000
60,92,11952,7,0,0,808,95404,190000
180,35,3675,6,0,28,547,74273.5,148000
20,110,14977,8,250,63,1976,220988,440000
120,41,5330,8,96,48,1494,126247,251000
20,80,8480,5,0,24,970,66735,132500
20,75,13125,6,140,39,1478,105189,208900
60,105,13693,9,414,84,2153,191076.5,380000
20,79,10637,8,208,44,1705,149352.5,297000
30,50,5925,4,0,72,907,45189,89471
20,98,16033,9,519,112,1833,163916.5,326000
20,72,11846,9,206,49,1792,187896,374000
70,50,2500,7,0,0,910,77955,155000
120,32,4500,6,0,125,1216,82608,164000
20,NA,7758,5,0,132,999,66749.5,132500
20,80,9600,5,0,80,1113,74056.5,147000
20,79,10289,5,0,0,1073,78536.5,156000
20,70,12243,5,224,0,1484,88242,175000
190,60,10800,5,142,0,954,80477,160000
180,21,1526,4,0,0,630,43315,86000
160,NA,2665,5,141,24,264,57632,115000
50,79,9490,6,0,0,806,66903,133000
60,105,15578,6,0,0,728,86756.5,172785
20,70,7931,5,0,0,1269,78134.5,155000
30,50,5784,5,144,20,190,45745,91300
30,60,7879,4,0,523,720,17810,34900
20,NA,12692,8,264,75,3200,216600,430000
50,60,9120,7,0,100,1026,92513,184000
20,65,7800,5,64,0,864,65432,130000
20,70,7535,5,12,285,912,60456,120000
160,21,1890,6,144,28,672,56836,113000
60,75,9803,7,0,108,866,113783,226700
20,70,9170,5,0,0,1214,70607,140000
20,100,15602,7,0,54,1501,145250.5,289000
160,24,2308,6,260,0,855,73927.5,147000
90,60,7596,5,0,0,960,62730,124500
60,80,9554,8,182,81,777,107888.5,215000
20,75,7862,6,0,102,1218,104759,208300
70,60,9600,7,0,0,689,80844.5,161000
20,80,9600,5,224,88,1041,62770.5,124500
20,75,14559,5,324,42,1008,82954,164900
120,40,6792,7,132,35,1368,102016.5,202665
20,70,9100,5,0,0,864,65382,129900
20,71,9187,6,120,0,1084,67542,134000
45,55,10594,5,0,0,768,48634,96500
20,94,12220,10,156,54,2006,202433.5,402861
80,NA,10448,6,0,104,689,79344.5,158000
60,79,10208,7,220,0,1264,133132,265000
60,NA,9531,6,0,36,794,105897,211000
70,53,10918,7,0,0,1276,117638,234000
190,60,10800,4,220,114,0,53125,106250
20,90,11988,6,0,40,1244,75622,150000
50,50,5000,6,0,24,1004,80002,159000
60,130,40094,10,208,406,3138,93944,184750
60,95,11787,7,239,60,1379,158564.5,315750
20,62,7500,7,38,144,1257,88628.5,176000
20,70,13300,5,261,0,928,66464,132000
60,67,14948,9,126,66,1452,223856.5,446261
30,58,9098,4,0,0,528,43264,86000
20,NA,32668,6,0,0,2035,101329.5,200624
80,85,10200,6,224,0,1461,88230.5,175000
70,60,6155,6,0,0,611,64305.5,128000
20,60,7200,5,0,0,0,53750,107500
20,50,5000,1,0,0,0,19650,39300
60,74,9056,8,100,35,707,89353.5,178000
190,70,7000,5,85,0,1117,54308.5,107500
60,57,8924,7,120,155,880,94440,188000
20,NA,12735,4,216,0,864,56057,111250
20,NA,11553,5,466,0,1051,79525.5,158000
20,NA,11423,8,180,0,1581,136790.5,272000
20,85,14601,9,270,68,1838,158419,315000
60,NA,11000,8,0,56,969,124484.5,248000
20,78,10140,7,78,73,1650,107450,213250
120,34,4058,7,120,40,723,66861.5,133000
60,58,17104,7,100,24,654,90159.5,179665
50,NA,13837,7,0,0,1204,115102,229000
50,70,8737,6,0,38,1065,105532.5,210000
85,54,7244,5,104,0,768,65134,129500
20,49,8235,5,140,50,825,62912.5,125000
60,75,9375,7,182,182,912,131956,263000
120,53,4043,6,0,55,1069,70534.5,140000
20,50,6000,5,0,0,928,56714,112500
20,87,11146,8,169,39,1709,128604.5,255500
20,67,8777,4,0,96,0,54000,108000
60,85,10625,7,320,62,998,142499,284000
45,58,6380,5,0,0,993,56996.5,113000
20,69,14850,5,268,0,1092,71046,141000
50,60,11040,4,0,47,637,54318.5,108000
60,57,21872,7,264,22,729,87864.5,175000
120,NA,3196,7,143,20,1374,117687,234000
20,NA,11341,5,0,0,1392,61446,121500
20,77,10010,5,240,38,1389,85694.5,170000
30,63,13907,5,144,0,996,54498,108000
50,66,21780,6,72,36,1163,93081.5,185000
60,NA,13346,7,0,40,1095,134547.5,268000
70,66,6858,6,0,66,806,64403,128000
60,77,11198,9,144,39,1122,163061,325000
20,70,10171,7,0,0,1517,107758.5,214000
50,79,12327,8,349,40,1496,159048,316600
90,NA,7032,5,42,0,943,68451.5,135960
90,74,13101,5,0,0,1728,72164,142600
20,60,7332,6,168,0,864,60432,120000
60,83,13159,7,208,114,846,112673,224500
80,76,9967,7,100,0,384,85192,170000
80,70,10500,5,35,0,372,69686,139000
50,80,8480,5,158,0,832,59666,118500
50,52,6292,7,0,50,861,72930.5,145000
80,96,11777,5,160,68,1164,82832,164500
160,34,3604,7,0,102,689,73344.5,146000
50,81,12150,5,0,0,1050,66275,131500
20,NA,14585,6,216,110,1144,91522,181900
20,98,12704,8,0,90,2042,127667.5,253293
90,81,11841,6,0,32,816,59658,118500
75,75,13500,10,105,502,1237,163118.5,325000
50,51,6120,4,0,0,884,66942,133000
20,88,11443,8,326,66,1868,185884,369900
30,55,10267,6,0,0,816,65408,130000
85,74,8740,5,0,0,840,68920,137000
20,65,25095,5,0,48,1437,72218.5,143000
40,50,9100,5,0,0,742,40121,79500
60,64,8320,7,0,45,770,93335,185900
60,97,13478,10,382,274,1722,226836,451950
20,60,6600,5,0,0,816,69408,138000
120,NA,4435,6,140,0,848,70424,140000
20,88,7990,5,0,0,924,55462,110000
20,69,11302,8,180,75,1814,160407,319000
70,60,3600,6,0,158,684,57594,114504
120,53,3922,7,120,16,1258,97729.5,194201
20,80,12984,5,0,0,1430,109465,217500
160,24,1950,6,161,0,716,75858,151000
60,74,10927,8,179,60,1058,138029,275000
50,50,9000,6,0,162,780,70890,141000
60,80,10041,8,120,150,908,110454,220000
160,30,3182,7,0,172,600,75800,151000
20,88,12803,7,192,36,1494,111247,221000
60,85,13600,7,0,42,768,102884,205000
20,82,12464,5,168,0,1040,76520,152000
20,78,7800,5,103,0,896,112948,225000
70,78,12168,8,0,0,965,180032.5,359100
20,61,7943,4,64,0,1029,59764.5,118500
60,NA,11050,9,253,142,1440,157220,313000
80,NA,10395,6,0,0,1032,74516,148000
60,NA,11885,8,160,122,1299,131399.5,261500
20,70,8402,5,0,30,1120,74060,147000
180,21,1491,4,96,24,630,38065,75500
85,80,8800,6,120,0,936,69218,137500
60,NA,7861,6,100,75,783,91991.5,183200
45,59,7227,6,0,0,832,53166,105500
20,90,11694,9,0,108,1822,158317.5,314813
60,85,12244,8,168,0,1482,153241,305000
30,45,8248,3,0,0,864,33932,67000
60,90,10800,6,38,243,1522,120761,240000
